"programNumber";"platformId";"platformType";"platformModel";"platformName";"satellite";"bestMsgDate";"duration";"nbMessage";"message120";"bestLevel";"frequency";"locationDate";"latitude";"longitude";"altitude";"locationClass";"gpsSpeed";"gpsHeading"
"6145";"34215";"WHALE";"SPLASH";"";"SR";"2017-06-13T01:47:01.000Z";"180";"4";"0";"-126";"4.0167722795E8";"2017-06-13T01:46:30.000Z";"47.67858";"-122.14119";"0.0";"2";"";"";
"6145";"34215";"WHALE";"SPLASH";"";"NK";"2017-06-13T02:05:01.000Z";"540";"8";"0";"-120";"4.0167722676E8";"2017-06-13T02:00:24.000Z";"47.67764";"-122.13426";"0.0";"3";"";"";
"6145";"34215";"WHALE";"SPLASH";"";"NN";"2017-06-13T02:25:01.000Z";"540";"10";"0";"-121";"4.016772265E8";"2017-06-13T02:20:00.000Z";"47.67725";"-122.13559";"0.0";"3";"";"";
"6145";"34215";"WHALE";"SPLASH";"";"MA";"2017-06-13T03:23:01.000Z";"300";"5";"0";"-120";"4.0167722508E8";"2017-06-13T03:19:00.000Z";"47.67814";"-122.13739";"0.0";"2";"";"";
"6145";"34215";"WHALE";"SPLASH";"";"SR";"2017-06-13T03:29:01.000Z";"360";"7";"0";"-120";"4.0167722558E8";"2017-06-13T03:27:00.000Z";"47.67766";"-122.13588";"0.0";"3";"";"";
"6145";"34215";"WHALE";"SPLASH";"";"NK";"2017-06-13T03:44:01.000Z";"240";"4";"0";"-133";"4.0167722435E8";"2017-06-13T03:44:30.000Z";"47.68017";"-122.13554";"0.0";"1";"";"";
"6145";"34215";"WHALE";"SPLASH";"";"NN";"2017-06-13T04:04:01.000Z";"300";"6";"0";"-126";"4.0167722462E8";"2017-06-13T04:01:00.000Z";"47.67815";"-122.13676";"0.0";"2";"";"";
"6145";"34215";"WHALE";"SPLASH";"";"MB";"2017-06-13T04:18:01.000Z";"300";"6";"0";"-130";"4.0167722467E8";"2017-06-13T04:15:00.000Z";"47.67764";"-122.13495";"0.0";"3";"";"";
"6145";"34215";"WHALE";"SPLASH";"";"MA";"2017-06-13T05:04:01.000Z";"480";"9";"3";"-116";"4.0167722399E8";"2017-06-13T04:59:30.000Z";"47.67815";"-122.13147";"0.0";"1";"";"";
"6145";"34215";"WHALE";"SPLASH";"";"SR";"2017-06-13T05:07:01.000Z";"59";"2";"0";"-131";"4.0167722476E8";"2017-06-13T05:07:30.000Z";"47.67785";"-122.13457";"0.0";"B";"";"";
"6145";"34219";"WHALE";"SPLASH";"";"NN";"2017-06-13T00:42:05.000Z";"360";"6";"0";"-128";"4.0167704029E8";"2017-06-13T00:38:04.000Z";"47.67631";"-122.13472";"0.0";"3";"";"";
"6145";"34219";"WHALE";"SPLASH";"";"SR";"2017-06-13T01:47:05.000Z";"240";"4";"0";"-127";"4.0167703575E8";"2017-06-13T01:46:04.000Z";"47.67861";"-122.13842";"0.0";"2";"";"";
"6145";"34219";"WHALE";"SPLASH";"";"NK";"2017-06-13T02:05:05.000Z";"360";"7";"0";"-124";"4.0167703418E8";"2017-06-13T02:01:34.000Z";"47.67822";"-122.13382";"0.0";"3";"";"";
"6145";"34219";"WHALE";"SPLASH";"";"NN";"2017-06-13T02:24:05.000Z";"660";"7";"0";"-124";"4.0167703364E8";"2017-06-13T02:20:04.000Z";"47.67783";"-122.1318";"0.0";"2";"";"";
"6145";"34219";"WHALE";"SPLASH";"";"MA";"2017-06-13T03:23:05.000Z";"300";"5";"0";"-121";"4.0167703026E8";"2017-06-13T03:19:04.000Z";"47.67887";"-122.13672";"0.0";"2";"";"";
"6145";"34219";"WHALE";"SPLASH";"";"SR";"2017-06-13T03:28:05.000Z";"300";"6";"0";"-126";"4.0167703075E8";"2017-06-13T03:26:34.000Z";"47.67796";"-122.13595";"0.0";"3";"";"";
"6145";"34219";"WHALE";"SPLASH";"";"NK";"2017-06-13T03:43:05.000Z";"59";"2";"0";"-133";"4.0167703036E8";"2017-06-13T03:43:34.000Z";"47.67715";"-122.13516";"0.0";"B";"";"";
