platformId;locationDate;latitude;longitude;chronologie
34215;2017-06-13T02:00:24.000Z;47.67764;-122.13426;1
34215;2017-06-13T02:20:00.000Z;47.67725;-122.13559;2
34215;2017-06-13T03:19:00.000Z;47.67814;-122.13739;3
34215;2017-06-13T03:27:00.000Z;47.67766;-122.13588;4
34215;2017-06-13T03:44:30.000Z;47.68017;-122.13554;5
34215;2017-06-13T04:01:00.000Z;47.67815;-122.13676;6
34215;2017-06-13T04:15:00.000Z;47.67764;-122.13495;7
34215;2017-06-13T04:59:30.000Z;47.67815;-122.13147;8
34215;2017-06-13T05:07:30.000Z;47.67785;-122.13457;9
34219;2017-06-13T01:46:04.000Z;47.67861;-122.13842;1
34219;2017-06-13T02:01:34.000Z;47.67822;-122.13382;2
34219;2017-06-13T02:20:04.000Z;47.67783;-122.1318;3
34219;2017-06-13T03:19:04.000Z;47.67887;-122.13672;4
34219;2017-06-13T03:26:34.000Z;47.67796;-122.13595;5
34219;2017-06-13T03:43:34.000Z;47.67715;-122.13516;6
34219;2017-06-13T04:01:04.000Z;47.678;-122.13725;7
34219;2017-06-13T04:15:34.000Z;47.67787;-122.13769;8
34219;2017-06-13T04:59:40.000Z;47.67845;-122.13154;9
34220;2017-06-13T01:46:38.000Z;47.6791;-122.14152;1
34220;2017-06-13T02:01:08.000Z;47.67752;-122.13641;2
34220;2017-06-13T02:20:38.000Z;47.67754;-122.13601;3
34220;2017-06-13T03:19:08.000Z;47.68106;-122.14056;4
34220;2017-06-13T03:27:08.000Z;47.67773;-122.13602;5
34220;2017-06-13T04:03:38.000Z;47.68033;-122.13793;6
34220;2017-06-13T04:15:08.000Z;47.67828;-122.13556;7
34220;2017-06-13T05:00:23.000Z;47.67739;-122.1358;8
34220;2017-06-13T05:05:08.000Z;47.67746;-122.13587;9
34221;2017-06-13T02:01:12.000Z;47.67752;-122.13393;1
34221;2017-06-13T02:19:42.000Z;47.67804;-122.13244;2
34221;2017-06-13T03:18:42.000Z;47.67598;-122.13631;3
34221;2017-06-13T03:27:12.000Z;47.67726;-122.13608;4
34221;2017-06-13T03:43:42.000Z;47.67699;-122.1359;5
34221;2017-06-13T04:01:12.000Z;47.67689;-122.13846;6
34221;2017-06-13T04:17:42.000Z;47.67569;-122.13598;7
34221;2017-06-13T04:59:42.000Z;47.67826;-122.1329;8
34221;2017-06-13T05:06:42.000Z;47.67802;-122.13574;9
34222;2017-06-13T01:45:16.000Z;47.6776;-122.13946;1
34222;2017-06-13T02:01:16.000Z;47.67747;-122.13383;2
34222;2017-06-13T02:20:46.000Z;47.67723;-122.13585;3
34222;2017-06-13T03:18:46.000Z;47.6763;-122.13613;4
34222;2017-06-13T03:26:52.000Z;47.67793;-122.13513;5
34222;2017-06-13T03:43:16.000Z;47.67788;-122.13515;6
34222;2017-06-13T04:03:16.000Z;47.67797;-122.13503;7
34222;2017-06-13T04:15:16.000Z;47.67796;-122.13516;8
34222;2017-06-13T04:59:36.000Z;47.67805;-122.13201;9
34223;2017-06-13T02:00:56.000Z;47.67732;-122.13482;1
34223;2017-06-13T02:20:20.000Z;47.677;-122.13701;2
34223;2017-06-13T03:18:20.000Z;47.67676;-122.13762;3
34223;2017-06-13T03:26:20.000Z;47.67717;-122.13489;4
34223;2017-06-13T03:43:50.000Z;47.6759;-122.13372;5
34223;2017-06-13T04:01:20.000Z;47.68189;-122.12838;6
34223;2017-06-13T04:15:20.000Z;47.68091;-122.12783;7
34223;2017-06-13T04:59:50.000Z;47.67835;-122.12991;8
34223;2017-06-13T05:07:20.000Z;47.67812;-122.13047;9
34226;2017-06-13T02:20:54.000Z;47.67738;-122.13641;1
34226;2017-06-13T03:19:24.000Z;47.67576;-122.12989;2
34226;2017-06-13T03:26:24.000Z;47.67744;-122.13531;3
34226;2017-06-13T03:44:24.000Z;47.67964;-122.13461;4
34226;2017-06-13T04:01:54.000Z;47.67784;-122.13964;5
34226;2017-06-13T04:15:24.000Z;47.67724;-122.13747;6
34226;2017-06-13T04:59:24.000Z;47.67751;-122.13531;7
34226;2017-06-13T05:06:39.000Z;47.67853;-122.13471;8
34226;2017-06-13T05:57:54.000Z;47.67614;-122.13576;9
34227;2017-06-13T02:00:28.000Z;47.67757;-122.13679;1
34227;2017-06-13T02:20:28.000Z;47.67707;-122.13638;2
34227;2017-06-13T03:18:58.000Z;47.677;-122.13524;3
34227;2017-06-13T03:26:28.000Z;47.67737;-122.13567;4
34227;2017-06-13T03:44:28.000Z;47.68079;-122.13625;5
34227;2017-06-13T04:01:28.000Z;47.67951;-122.13354;6
34227;2017-06-13T04:15:28.000Z;47.67914;-122.13336;7
34227;2017-06-13T04:59:28.000Z;47.67791;-122.13386;8
34227;2017-06-13T05:07:28.000Z;47.67838;-122.13095;9
34228;2017-06-13T01:46:32.000Z;47.67799;-122.13638;1
34228;2017-06-13T02:00:32.000Z;47.67756;-122.13325;2
34228;2017-06-13T02:21:02.000Z;47.67598;-122.14016;3
34228;2017-06-13T03:19:02.000Z;47.67835;-122.13606;4
34228;2017-06-13T03:26:02.000Z;47.67719;-122.13585;5
34228;2017-06-13T03:44:02.000Z;47.6756;-122.13451;6
34228;2017-06-13T04:03:32.000Z;47.67586;-122.1344;7
34228;2017-06-13T04:15:02.000Z;47.67696;-122.13615;8
34228;2017-06-13T05:00:02.000Z;47.67826;-122.13038;9
34350;2017-06-13T02:00:36.000Z;47.67692;-122.1364;1
34350;2017-06-13T02:19:06.000Z;47.67657;-122.1369;2
34350;2017-06-13T03:19:36.000Z;47.67823;-122.13936;3
34350;2017-06-13T03:27:06.000Z;47.6771;-122.13539;4
34350;2017-06-13T03:44:06.000Z;47.67622;-122.13472;5
34350;2017-06-13T04:02:06.000Z;47.67746;-122.14396;6
34350;2017-06-13T04:15:36.000Z;47.6754;-122.14057;7
34350;2017-06-13T05:00:36.000Z;47.67697;-122.13789;8
34350;2017-06-13T05:06:36.000Z;47.67701;-122.13796;9
34354;2017-06-13T01:45:40.000Z;47.67832;-122.13703;1
34354;2017-06-13T02:01:10.000Z;47.67708;-122.1363;2
34354;2017-06-13T02:20:40.000Z;47.67875;-122.13306;3
34354;2017-06-13T03:22:10.000Z;47.67734;-122.13279;4
34354;2017-06-13T03:26:40.000Z;47.67754;-122.13594;5
34354;2017-06-13T03:42:40.000Z;47.67749;-122.13618;6
34354;2017-06-13T04:01:40.000Z;47.67984;-122.12927;7
34354;2017-06-13T04:15:10.000Z;47.67923;-122.13368;8
34354;2017-06-13T05:00:40.000Z;47.6777;-122.13385;9
